Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
,1,0,0,0,"HTML, C Programming, C++ Programming, CSS, Java, Android, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science,2023,N/A,7.50/8,7.00/7.00,8.86/8.86
,0,2,0,2,"C Programming, English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Office, MS-PowerPoint, MS-Word, Deep Learning, Java, MS-Excel, Machine Learning, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2023,N/A,8.67/10,9.10/9.10,9.40/9.40
,2,1,2,1,"Data Analytics, Data Science, Image Processing, Linux, Natural Language Processing (NLP), Neural Networks, OpenCV, Python, Computer Vision, Deep Learning, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics and Communication,2023,N/A,8.52/10,N/A,N/A
,1,0,0,0,"Java, SQL, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science & Engineering,2023,8.50/10,N/A,9.70/9.70,9.70/9.70
,1,2,0,0,"Machine Learning, Data Structures, Java, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Information Technology,2023,N/A,6.52/10,61.00/61.00,8.60/8.60
,3,3,2,2,"Data Analytics, Data Science, MS-Excel, MS-Office, Machine Learning, Python, SQL, C Programming, Data Structures, Database Management System (DBMS), Deep Learning, GitHub, Natural Language Processing (NLP), Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Computer Applications (BCA),Data Science,2023,N/A,9.02/10,94.00/94.00,N/A
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Mechanical Engineering,2023,N/A,N/A,N/A,N/A
,2,2,1,2,"Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Data Science, Natural Language Processing (NLP), Neural Networks","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Chemical Engineering,2025,N/A,6.88/10,82.20/82.20,94.40/94.40
,2,1,0,0,"C Programming, C++ Programming, Data Analytics, MySQL, Python, Machine Learning","No, 25 July onwards because of exams.",B.Tech,,2024,N/A,N/A,79.69/79.69,92.00/92.00
,2,2,0,0,"English Proficiency (Written), Mathematics, Data Analytics, Data Science, English Proficiency (Spoken), MS-Excel, Machine Learning, Python, SQL, Tableau, Microsoft Azure","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,N/A,8.80/10,N/A,N/A
,2,2,0,0,"Machine Learning, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science,2023,N/A,N/A,68.00/68.00,N/A
,0,0,0,0,"BIG DATA ANALYTICS, Interpersonal Skills, Software Testing","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2023,N/A,N/A,N/A,N/A
,3,2,0,0,"BIG DATA ANALYTICS, Python, SQL, Java, Linux, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Post Graduate Diploma in Big Data Analytics (PG-DBDA),,2023,9.07/100,N/A,N/A,8.80/8.80
,2,2,1,2,"C Programming, Flutter, Kotlin, XML, Artificial Intelligence, C++ Programming, Dart, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Image Processing, Java, Machine Learning, Python, Computer Vision, Mathematics, Natural Language Processing (NLP)","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Information Technology,2024,N/A,N/A,89.80/89.80,88.60/88.60
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),cs,2023,N/A,5.70/7,75.00/75.00,6.40/6.40
,2,3,2,2,"Machine Learning, SQL, Statistics, Computer Vision, Deep Learning, Natural Language Processing (NLP), Python, Statistical Modeling","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Technology (M.Tech),Data Science,2023,7.54/10,6.30/10,62.00/62.00,87.00/87.00
,1,1,0,1,"Data Analytics, MS-Excel, Data Science, Deep Learning, Machine Learning, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",MBA,International Business,2006,N/A,N/A,N/A,N/A
,2,1,0,0,"C Programming, C++ Programming, Data Structures, MS-Office, Painting, Python, Flask, Machine Learning, Node.js","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science,2023,N/A,N/A,8.20/8.20,N/A
,2,2,2,2,"Algorithms, Artificial Intelligence, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Python, SQL, SQLite, Statistics, Amazon Web Server (AWS), Flask","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Commerce (B.Com),Commerce,2019,68.00/100,N/A,N/A,N/A
,3,0,0,0,"HTML, JavaScript, PHP, Python, CSS, Java, Manual Testing, Software Testing","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Artificial Intelligence And Machine Learning,2025,N/A,95.33/100,N/A,61.30/61.30
,3,2,1,2,"English Proficiency (Written), Python, BIG DATA ANALYTICS, C++ Programming, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), HTML, Hindi Proficiency (Spoken), Java, MS-Word, Machine Learning, Marathi Proficiency(Spoken), MySQL, Neural Networks, Postman, SQL, Artificial Intelligence, C Programming, CSS, MS-Excel, MongoDB, Natural Language Processing (NLP), R Programming, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Information Technology,2024,N/A,9.60/10,66.62/66.62,83.80/83.80
,2,2,0,2,"C Programming, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), Hindi Proficiency (Spoken), Machine Learning, Python, HTML","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,N/A,N/A,N/A
,2,2,2,0,"C Programming, C++ Programming, Computer Vision, Data Science, Django, Google Workspace, Java, Machine Learning, MySQL, Natural Language Processing (NLP), Python, Search Engine Optimization (SEO), Blockchain, MongoDB, Node.js, ReactJS","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,N/A,80.77/80.77,90.60/90.60
,0,0,0,0,"C++ Programming, Android, Firebase, Flutter, Java, Kotlin, MongoDB, Node.js","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,computer science,2025,N/A,N/A,90.80/90.80,N/A
,3,3,3,3,"Data Analytics, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, MySQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Mechanical,2019,N/A,6.83/10,N/A,81.00/81.00
,2,1,0,0,"Python, Artificial intelligence, C Programming, Java, JavaScript, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,N/A,N/A,N/A,N/A
,1,1,0,1,"AngularJS, CSS, Deep Learning, Django, Java, JavaScript, Machine Learning, PHP, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),,2024,N/A,N/A,N/A,N/A
,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), Event Management, MS-Office, Photography, C Programming, HTML, Microsoft Azure","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science,2023,N/A,N/A,82.00/82.00,10.00/10.00
,2,1,2,1,"Creative Writing, Digital Art, Social Media Marketing, Adobe After Effects, Adobe Illustrator, Adobe Indesign, Adobe Photoshop, Adobe Premiere Pro, Adobe XD, Data Analytics, Data Science, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Figma, MS-Excel, Natural Language Processing (NLP), Power BI, Python, SQL, Tableau, UI & UX Design, Wireframing, Animation, Autodesk Fusion 360, Autodesk Revit, Computer Vision, Deep Learning, Machine Learning, MongoDB, Search Engine Optimization (SEO)","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Electrical Engineering,2023,N/A,7.50/9,N/A,N/A
,3,2,1,2,"Data Science, Python, Selenium, Deep Learning, Machine Learning, MongoDB, MySQL, Natural Language Processing (NLP)","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),,2023,N/A,N/A,N/A,N/A
,2,2,0,2,"Data Analytics, Data Science, Data Structures, Deep Learning, Machine Learning, Python, SQL, Tableau, Java","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Science (M.Sc),Artificial Intelligence,2023,9.35/10,9.25/10,N/A,N/A
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Information Technology,2018,N/A,6.95/10,N/A,N/A
,2,2,0,0,"CSS, HTML, C Programming, Data Analytics, Java, MS-Office, Machine Learning, MySQL, Neural Networks, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Technology (M.Tech),Digital Systems And Computer Electronics,2023,7.00/10,78.00/100,70.00/70.00,N/A
,2,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Mathematics, C Programming, HTML, Python, MATLAB","Yes, I am available for 3 months starting immediately for a full-time internship.",M.Sc (Information Technology),,2021,N/A,N/A,N/A,N/A
,2,0,0,0,"Adobe Photoshop, Java, Adobe Illustrator, CSS, HTML, MS-Excel, MS-Office, MS-PowerPoint, MySQL, Python, SQLite, C Programming","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Technology (M.Tech),Computer Science & Engineering,2023,8.20/10,7.49/10,N/A,N/A
,0,0,0,0,"Physics, Data Science","Yes, I am available for 3 months starting immediately for a full-time internship.",Integrated M.Sc.,Science,2021,N/A,N/A,N/A,N/A
,0,0,0,0,"Java, Arduino, C Programming, CSS, Embedded Systems, HTML, PCB Design, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),,2023,N/A,N/A,N/A,N/A
,2,2,2,1,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Word, Mathematics, SQL, Artificial Intelligence, C Programming, C++ Programming, CSS, Data Analytics, Data Science, Data Structures, HTML, Java, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, Python, Computer Vision, Deep Learning, JSP, Servlets, Spring MVC","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2024,N/A,3.60/4,85.00/85.00,85.00/85.00
,3,0,1,2,"Adobe Premiere Pro, Power BI, Python, R Programming, WordPress, CSS, Deep Learning, Java, JavaScript, MS-Excel, MS-Word, MySQL, Solidity, Hyperledger, Linux, Natural Language Processing (NLP), Xcode","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Scienece With Specialization In Cybersecurity And Data,2025,N/A,N/A,3.60/3.60,N/A
,2,0,0,0,"Java, CSS, HTML, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Information Technology,2020,N/A,7.84/10,88.00/88.00,85.00/85.00
,3,3,0,1,"Data Analytics, Machine Learning, Python, C Programming, C++ Programming, CSS, Canva, Data Science, HTML, Teaching, Unity 3D, Artificial Intelligence, C#, Computer Vision, Deep Learning, OpenCV, Report Writing","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2025,N/A,N/A,N/A,N/A
,0,0,0,0,"Canva, Content Writing, Digital Marketing, MS-Excel, MS-Office, MS-Word, Video Editing, Animation, Business Analysis, C Programming, C++ Programming, HR Analytics","Yes, I am available for 3 months starting immediately for a full-time internship.",,,0,N/A,N/A,N/A,N/A
,3,1,0,1,"Python, C++ Programming, Data Science, Java, Artificial Intelligence, Deep Learning, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Artificial Intelligence And Machine Learning,2024,N/A,N/A,N/A,N/A
,2,2,0,0,"Data Analytics, MS-Excel, Machine Learning, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",,Data Science,2023,8.02/10,6.32/100,87.00/87.00,9.80/9.80
,2,0,0,0,"C Programming, C++ Programming, Amazon Web Server (AWS), Blockchain, Database Management System (DBMS), DevOps, Flutter, Internet of Things (IoT), Java, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Science,2023,N/A,7.15/10,75.60/75.60,8.20/8.20
,3,3,2,3,"C++ Programming, Computer Vision, Data Analytics, Deep Learning, Machine Learning, Python, SQL, Data Science, Docker, Flask, Git, MATLAB, Manual Testing, Natural Language Processing (NLP), PostgreSQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2024,N/A,N/A,N/A,N/A
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Science (M.Sc),Data Science,2024,N/A,N/A,N/A,N/A
,3,3,2,3,"Computer Vision, Deep Learning, English Proficiency (Written), Machine Learning, Python, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Natural Language Processing (NLP), SQL, Statistics","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,7.52/10,N/A,N/A
,2,1,0,0,"CSS, Data Analytics, HTML, MS-Excel, Python, SQL, Django, Java, JavaScript, Machine Learning, REST API","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,N/A,N/A,N/A,N/A
,3,3,0,3,"Android, Computer Vision, Data Analytics, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Event Management, MS-Excel, Machine Learning, Neural Networks, OpenCV, Python, C++ Programming, Data Science, Firebase, Firebase Cloud Messaging, Flutter, Jira, Microsoft Project, Product Management, UI & UX Design","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,computer science,2024,N/A,9.53/10,65.00/65.00,81.00/81.00
,2,2,1,1,"C Programming, Digital Signal Processing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Neural Networks, Python, Adobe Photoshop, C++ Programming, Computer Vision, Data Science, Deep Learning, GNU Octave, Image Processing, MATLAB, Natural Language Processing (NLP)","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics and Communication,2024,N/A,N/A,N/A,N/A
,2,0,0,0,"C Programming, C++ Programming, MS-PowerPoint, Mathematics, MySQL, Python, Data Science","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Electronics and Telecommunication Engineering (ETE),2023,N/A,8.91/10,81.00/81.00,9.00/9.00
,2,2,2,2,"Algorithms, Android, Artificial Intelligence, Dart, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Flutter, Golang, Java, Machine Learning, Natural Language Processing (NLP), Python, BIG DATA ANALYTICS, Cloud Firestore, Firebase, iOS","No, I am available for 3 months starting from 14 July for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2025,N/A,9.23/10,N/A,N/A
,2,0,0,0,"Python, C++ Programming","Yes, I am available for 3 months starting immediately for a full-time internship.",,,0,N/A,N/A,N/A,N/A
,2,2,1,2,"HTML, Adobe Photoshop, Algorithms, Artificial intelligence, CSS, Deep Learning, JavaScript, MS SQL Server, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, MySQL, Neural Networks, Photography, Python, Video Editing, C Programming, Django, MATLAB, MongoDB, Natural Language Processing (NLP), R Programming","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering (AI & ML),2024,N/A,N/A,84.20/84.20,N/A
,3,2,0,2,"Data Analytics, English Proficiency (Spoken), English Proficiency (Written), Python, Statistics, Deep Learning, MS-Excel, Machine Learning, Power BI, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Mechanical Engineering,2025,N/A,N/A,96.60/96.60,97.60/97.60
,2,1,0,0,"SQL, Data Analytics, Gitlab, MS SQL Server, MS-Excel, Power BI, Python, Tableau, Data Science, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Information Technology,2024,N/A,N/A,N/A,N/A
,2,2,0,0,"ArcGIS, C++ Programming, Computer Vision, Data Analytics, MS-Excel, Machine Learning, OpenCV, Python, Economics, Power BI, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Integrated B.Tech & M.Tech,,2026,N/A,N/A,N/A,N/A
,2,2,0,0,"MS-Office, Data Analytics, Data Science, MS-Excel, Machine Learning, Python, Statistics, Power BI, SQLite","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics and Telecommunication Engineering (ETE),2015,N/A,N/A,N/A,N/A
,2,0,0,0,"HTML, C Programming, CSS, Figma, Git, Python, SQL, Amazon Web Services (AWS), C++ Programming, Flask, MongoDB, Node.js, Postman","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),,2024,N/A,N/A,N/A,N/A
,2,2,2,2,"Data Science, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, SQL, Statistics","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc) (Hons.),Science,2022,N/A,85.00/100,8.10/8.10,N/A
,2,0,0,0,"Python, SQL, WordPress, C Programming, C++ Programming, Java","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),IT,2021,N/A,7.83/10,79.54/79.54,94.30/94.30
,3,2,1,2,"C Programming, LaTeX, Neural Networks, Python, Computer Vision, Data Structures, Deep Learning, Git, Image Processing, MATLAB, Machine Learning, OpenCV, SQL, Data Science, Docker, Flask, Natural Language Processing (NLP), REST API","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech (Hons.),Electronics Engineering,2023,N/A,9.30/10,90.15/90.15,89.20/89.20
,2,2,2,2,"Data Analytics, Computer Vision, Data Science, Deep Learning, MS-Excel, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, Python, R Programming, SQL, Statistics, Tableau, .NET, Amazon Web Services (AWS), Image Processing, OpenCV, Power BI","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),,2019,N/A,N/A,N/A,N/A
,2,2,2,2,"Data Analytics, Data Science, Deep Learning, Flask, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.E Computer Science and Engineering (Artificial Intelligence and machine Learning),Computer Science,2023,N/A,8.09/10,N/A,52.00/52.00
,0,2,0,0,"Git, GitHub, Machine Learning, Adobe Photoshop Lightroom CC, Computer Vision, Django, Flask","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,computer science,2024,N/A,N/A,N/A,N/A
,2,2,0,1,"Artificial Intelligence, C Programming, Content Writing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Java, Machine Learning, Python, SQL, Blogging, Database Management System (DBMS), Deep Learning, Search Engine Optimization (SEO)","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),CSE AIML,2024,N/A,9.00/10,N/A,N/A
,3,0,0,0,"C Programming, C++ Programming, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Python, Data Structures, HTML, MATLAB, R Programming, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,8.56/10,95.80/95.80,92.60/92.60
,2,1,0,0,"English Proficiency (Written), Python, Bootstrap, CSS, Docker, Express.js, HTML, JavaScript, Machine Learning, Microsoft Azure, MongoDB, Node.js","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,N/A,8.26/10,94.00/94.00,95.00/95.00
,3,3,2,3,"Data Analytics, Deep Learning, Machine Learning, Python, Artificial intelligence, Business Analysis, Data Science, Java, Natural Language Processing (NLP), NoSQL, Power BI, R Programming, SQL, SAS","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech (Hons.),Machine Learning,2023,N/A,7.50/10,80.00/80.00,9.00/9.00
,2,2,1,0,"MS-Excel, Business Analysis, Data Analytics, Data Science, Machine Learning, Python, SQL, Tableau, Natural Language Processing (NLP)","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Mechanical Engineering,2017,N/A,N/A,N/A,N/A
,2,2,0,1,"CSS, HTML, C Programming, C++ Programming, Image Processing, MATLAB, Machine Learning, MySQL, Python, ReactJS, Tailwind CSS, Computer Vision, Deep Learning, MS-Excel, PHP","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech (Hons.),Computer Science & Engineering,2023,N/A,8.97/10,79.90/79.90,9.40/9.40
,3,2,1,0,"MySQL, Python, Flask, Java, MS-Excel, Machine Learning, SQL, Tableau, Natural Language Processing (NLP)","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,N/A,87.20/87.20,88.00/88.00
,3,0,0,0,"BIG DATA ANALYTICS, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Python, C++ Programming, Data Science, Hadoop, SQL, MATLAB","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science And Engineering (Data Science),2025,N/A,N/A,N/A,N/A
,1,1,0,0,"C++ Programming, Data Science, Google Analytics, Machine Learning, Python, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Statistics","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),computer science,2006,N/A,74.00/100,62.00/62.00,N/A
,2,0,0,0,"CSS, HTML, C++ Programming, Dart, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Figma, Python, Adobe Photoshop, Database Management System (DBMS), Flutter, MySQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2025,N/A,N/A,N/A,N/A
,1,1,0,1,"C Programming, C++ Programming, CSS, HTML, Data Science, Deep Learning, JavaScript, Machine Learning, PHP, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Compuer Science And Information Technology,2024,N/A,8.60/10,89.20/89.20,78.80/78.80
,0,0,0,0,"Bootstrap, C++ Programming, CSS, Express.js, GitHub, HTML, JavaScript, ReactJS, jQuery, Amazon Web Services (AWS), CCNA, Git, Google Cloud Computing, Java, MATLAB, MS-Office, MongoDB, MySQL, Node.js, Software Testing, Tailwind CSS, Vue Js, WordPress, web3.js, Amazon Web Server (AWS), AngularJS, PHP, Shell Scripting","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics and Communication,2024,8.45/10,N/A,94.60/94.60,84.20/84.20
,2,2,0,0,"Artificial intelligence, C++ Programming, Cloud Computing, Data Analytics, Machine Learning, MySQL, Python, REST API","Yes, I am available for 3 months starting immediately for a full-time internship.",,,0,N/A,N/A,91.25/91.25,89.00/89.00
,2,0,0,0,"Data Structures, Python, Database Management System (DBMS), Java","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),,2026,N/A,N/A,N/A,N/A
,1,1,1,1,"MS-Excel, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL, Selenium","Yes, I am available for 3 months starting immediately for a full-time internship.",PG Diploma in Data Science,"Machine Learning ,NLP And Deep Learning",2023,N/A,N/A,N/A,N/A
,2,2,2,2,"Artificial intelligence, Data Analytics, Data Science, Deep Learning, Docker, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,MlAI,2023,N/A,8.00/10,6.26/6.26,8.20/8.20
,2,2,0,2,"Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, MS-Excel, Machine Learning, Neural Networks, OpenCV, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2023,8.12/10,N/A,94.10/94.10,10.00/10.00
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2023,N/A,N/A,N/A,N/A
,1,2,1,0,"Computer Vision, Data Science, Data Structures, Java, MS-Excel, Machine Learning, SQL, Data Analytics, Natural Language Processing (NLP), Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science & Engineering,2024,N/A,8.40/10,89.16/89.16,N/A
,3,2,2,2,"Data Science, MS-Excel, Python, R Programming, C Programming, Computer Vision, Data Analytics, Database Management System (DBMS), Deep Learning, MS-Office, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, SQL, Financial Modeling","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Data Analytics,2023,N/A,4.00/4,89.00/89.00,10.00/10.00
,2,2,0,0,"Git, Java, JavaScript, Machine Learning, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2024,N/A,7.89/8,N/A,N/A
,3,0,0,0,"Data Science, Python, C++ Programming, Cloud Computing, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science,2023,N/A,N/A,87.40/87.40,9.60/9.60
,1,1,0,0,"Adobe Photoshop, Data Science, Digital Marketing, English Proficiency (Written), MS-Excel, MS-Word, Artificial intelligence, Machine Learning, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering In AIML,2024,N/A,8.59/10,88.00/88.00,83.00/83.00
,1,0,0,0,"C++ Programming, English Proficiency (Spoken), Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech (CSE) with specialization in Cyber Security ,,2025,N/A,8.58/9,N/A,N/A
,2,2,0,2,"R Programming, C++ Programming, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, HTML, Java, JavaScript, Machine Learning, MySQL, Neural Networks, PHP, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc) (Hons.),computer science,2023,N/A,9.79/10,94.40/94.40,91.00/91.00
,2,2,1,1,"Arduino, CSS, Data Science, Data Structures, Embedded Systems, HTML, Internet of Things (IoT), Java, MEAN/MERN Stack, Machine Learning, MySQL, Postman, Python, REST API, ReactJS, SQL, Bootstrap, Deep Learning, Flask, Git, GitHub, JavaScript, MS-Excel, MongoDB, Natural Language Processing (NLP), Node.js, PCB Design, Redux","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Electronics and Communication,2023,N/A,7.87/10,92.80/92.80,10.00/10.00
,2,2,0,2,"Data Analytics, Deep Learning, MATLAB, Machine Learning, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Technology (M.Tech),Climate Science And Technology,2023,7.32/10,N/A,95.00/95.00,10.00/10.00
,2,0,0,0,"English Proficiency (Spoken), MS-Word, Online Teaching, Blogging, British English, Client Interaction, Computer Networks, Copywriting, Creative Writing, English Proficiency (Written), HTML, MS-Excel, Mathematics, Python, Subject Matter Expert (SME), Transcription, Translation, C Programming, C++ Programming, CSS, Data Science, Java, JavaScript, PHP, Teaching","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech (Hons.),Computer Science & Engineering,2024,N/A,N/A,6.80/6.80,9.20/9.20
